"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"Omicron Protocol","Standalone","For Sale","USD",100,"N/A","N/A","Dead Alive Games","2953","N/A","N/A",10,"249748","400553","","2022-04-30","",""
"Usurp the King","Standalone","For Sale","USD",25,"N/A","N/A","DPH Games Inc","829 (C&C Games)","N/A","N/A",6,"279315","455745","UTK42","2022-06-00","",""
"Tenpenny Parks","Standalone","For Sale","USD",60,"N/A","N/A","Thunderworks Games","2806","N/A","N/A",80,"294702","482163","TWK3005","2022-04-00","",""
"Cartographers Map Pack 4: Frozen Expanse – Realm of Frost Giants","Expansion","For Sale","USD",10,"N/A","N/A","Thunderworks Games","2806","N/A","N/A",47,"353862","593055","","2022-06-00","",""
"Cartographers Map Pack 5: Kethra's Steppe – Redtooth & Goldbelly","Expansion","For Sale","USD",10,"N/A","N/A","Thunderworks Games","2806","N/A","N/A",46,"353864","593057","","2022-07-00","",""
"Cartographers Map Pack 6: Hornhelm – Wasteland Market","Expansion","For Sale","USD",15,"N/A","N/A","Thunderworks Games","2806","N/A","N/A",45,"353865","593058","","2022-08-00","",""
"Phantom Ink","Standalone","For Sale","USD",28,"N/A","N/A","Resonym","1913","N/A","N/A",27,"330592","550115","","2022-02-00","",""
"Prehistories","Standalone","For Sale","USD",30,"N/A","N/A","25th Century Games","1457","N/A","N/A",35,"318183","576092","TFC26000","2022-05-18","",""
"Sunny Day Sardines","Standalone","For Sale","USD",13,"N/A","N/A","25th Century Games","1457","N/A","N/A",28,"335872","558861","TFC18000","2022-05-18","",""
"Cryptid Cafe","Standalone","For Sale","USD",40,"N/A","N/A","25th Century Games","1457","N/A","N/A",41,"326358","540870","","2022-06-15","",""
"Longboard","Standalone","For Sale","USD",20,"N/A","N/A","25th Century Games","1457","N/A","N/A",84,"357203","600564","TFC27000","2022-08-00","",""
"Green Team Wins","Standalone","For Sale","USD",25,"N/A","N/A","25th Century Games","1457","N/A","N/A",61,"347805","581294","","2022-08-00","",""
"Gartenbau","Standalone","For Sale","USD",50,"N/A","N/A","25th Century Games","1457","N/A","N/A",81,"268188","437203","","2022-08-00","",""
"Holly Jolly","Standalone","For Sale","USD",13,"N/A","N/A","25th Century Games","1457","N/A","N/A",42,"345122","575881","TFC23000","2021-00-00","Q4 2021",""
"Blazon","Standalone","For Sale","USD",40,"N/A","N/A","25th Century Games","1457","N/A","N/A",102,"311610","511994","","2022-09-00","",""
"Ghosts Love Candy Too","Standalone","For Sale","USD",30,"N/A","N/A","25th Century Games","1457","N/A","N/A",27,"349242","583944","TFC25000","2022-09-00","",""
"Oh My Brain","Standalone","For Sale","USD",20,"N/A","N/A","25th Century Games","1457","N/A","N/A",30,"303676","597218","","2022-10-00","",""
"Ra","Standalone","Demo","N/A","N/A","N/A","N/A","25th Century Games","1457","N/A","N/A",219,"12","507779","","2022-10-00","",""
"PARKS: Wildlife","Expansion","For Sale","N/A","N/A","N/A","N/A","Keymaster Games","2013","N/A","N/A",148,"358854","603667","","2022-08-10","",""
"Caper: Europe","Standalone","For Sale","N/A","N/A","N/A","N/A","Keymaster Games","2013","N/A","N/A",86,"328565","546020","","2022-03-09","",""
"Deal with the Devil","Standalone","Demo","N/A","N/A","N/A","N/A","Czech Games Edition","Rooms 235–239","N/A","N/A",26,"367379","624808","","2022-10-00","",""
"The Red Dragon Inn 8: Pub Crawl","Standalone","For Sale","USD",40,"N/A","N/A","SlugFest Games","611","N/A","N/A",4,"330097","549201","","2022-01-00","",""
"Kamigami Battles: Rise of the Old Ones","Standalone","For Sale","USD",40,"N/A","N/A","Japanime Games","321","N/A","N/A",3,"319906","527488","","2022-08-00","",""
"Kamigami Battles: Into the Dreamlands","Expansion","For Sale","USD",20,"N/A","N/A","Japanime Games","321","N/A","N/A",3,"360916","607942","","2022-08-00","",""
"Kamigami Battles: The Stars Are Right","Expansion","For Sale","USD",20,"N/A","N/A","Japanime Games","321","N/A","N/A",3,"360915","607939","","2022-08-00","",""
"CHAINsomnia","Standalone","For Sale","USD",40,"N/A","N/A","Japanime Games","321","N/A","N/A",6,"308231","553840","","2022-10-00","Q3 2022",""
"Night Clan","Standalone","For Sale","USD",15,"N/A","N/A","Japanime Games","321","N/A","N/A",3,"168549","607959","","2022-08-00","",""
"Latria","Standalone","For Sale","USD",15,"N/A","N/A","Japanime Games","321","N/A","N/A",3,"170577","575317","","2022-08-00","",""
"Margot: La fée","Standalone","For Sale","USD",20,"N/A","N/A","Japanime Games","321","N/A","N/A",4,"294726","575318","","2022-08-00","",""
"Sigil","Standalone","Demo","N/A","N/A","N/A","N/A","Pine Island Games","2151","N/A","N/A",3,"367457","624923","","2023-00-00","",""
"7th Sea: City of Five Sails","Standalone","Demo","N/A","N/A","N/A","N/A","Pine Box Entertainment","1929 / 2029","N/A","N/A",9,"367584","625252","","0000-00-00","Q2 2023",""
"Sea Salt & Paper","Standalone","Demo","N/A","N/A","N/A","N/A","Bombyx","2759","N/A","N/A",8,"367220","624586","","0000-00-00","Q3 2022",""
"Look at the Stars","Standalone","Demo","N/A","N/A","N/A","N/A","Bombyx","2759","N/A","N/A",4,"365453","620751","","0000-00-00","Q4 2022",""
"Dice Conquest","Standalone","For Sale","USD",20,"N/A","N/A","WizKids (I)","1719","N/A","N/A",7,"354866","595841","87510","2022-08-00","",""
"Catapult Feud","Standalone","For Sale","N/A","N/A","N/A","N/A","Vesuvius Media","2149","N/A","N/A",4,"310789","558013","","2021-05-00","",""
"Catapult Feud: Siege! Expansion","Expansion","For Sale","N/A","N/A","N/A","N/A","Vesuvius Media","2149","N/A","N/A",2,"330301","549693","","2021-00-00","",""
"Pacific Rails Inc.","Standalone","For Sale","N/A","N/A","N/A","N/A","Vesuvius Media","2149","N/A","N/A",4,"297674","487027","","2020-09-00","",""
"Dodos Riding Dinos","Standalone","For Sale","N/A","N/A","N/A","N/A","Draco Studios","664","N/A","N/A",5,"254683","408919","","2021-10-00","",""
"Kiwi Chow Down","Standalone","For Sale","N/A","N/A","N/A","N/A","Draco Studios","664","N/A","N/A",1,"329546","548107","","0000-00-00","",""
"Party Panda Pirates","Standalone","For Sale","N/A","N/A","N/A","N/A","Draco Studios","664","N/A","N/A",1,"365119","620128","","0000-00-00","",""
"Silicon Valley","Standalone","Demo","N/A","N/A","N/A","N/A","Grail Games","2946","N/A","N/A",2,"322565","532248","","2023-03-00","",""
"Galactic Renaissance","Standalone","Demo","N/A","N/A","N/A","N/A","Matagot","2213 (Surfin' Meeple)","N/A","N/A",5,"365526","620869","","0000-00-00","Q2 2023",""
"Peter Pan","Standalone","Demo","N/A","N/A","N/A","N/A","Matagot","2213 (Surfin' Meeple)","N/A","N/A",2,"359132","604124","","2022-00-00","",""
"Ivion: The Hound and The Hare","Standalone","For Sale","USD",40,"N/A","N/A","Luminary Games","573","N/A","N/A",0,"264205","428077","","2022-07-00","",""
"Ivion: The Knight and The Lady","Standalone","For Sale","USD",40,"N/A","N/A","Luminary Games","573","N/A","N/A",0,"344117","574021","","2022-07-00","",""
"Ivion: The Sun and The Stars","Standalone","For Sale","USD",40,"N/A","N/A","Luminary Games","573","N/A","N/A",0,"344118","574022","","2022-07-00","",""
"The Yawning Portal: A Dungeons & Dragons Strategy Board Game","Standalone","Demo","N/A","N/A","N/A","N/A","Avalon Hill","Hall E","N/A","N/A",0,"367820","625652","","2023-00-00","",""
"Catherine: The Cities of the Tsarina","Standalone","For Sale","USD",55,"N/A","N/A","Capstone Games","459","N/A","N/A",66,"360951","612986","","2022-07-26","",""
"Maple Valley","Standalone","Demo","N/A","N/A","N/A","N/A","Kids Table BG","2008","N/A","N/A",94,"361958","611647","","2023-00-00","",""
"Power Plants","Standalone","For Sale","USD",49,"N/A","N/A","Kids Table BG","2008","N/A","N/A",41,"341974","570207","","2022-09-13","",""
"Fall of the Mountain King","Standalone","Demo","N/A","N/A","N/A","N/A","Burnt Island Games","2008","N/A","N/A",86,"334829","557070","","2022-10-04","",""
"Don't L.L.A.M.A. Dice","Standalone","For Sale","USD",15,"N/A","N/A","AMIGO","2205","N/A","N/A",23,"325853","613184","","2022-06-00","",""
"Magnefix","Standalone","For Sale","USD",30,"N/A","N/A","AMIGO","2205","N/A","N/A",5,"313858","613183","","2022-06-00","",""
"Look!","Standalone","For Sale","USD",13,"N/A","N/A","AMIGO","2205","N/A","N/A",3,"162191","613185","","2022-06-00","",""
"Where is Mausi?","Standalone","For Sale","USD",13,"N/A","N/A","AMIGO","2205","N/A","N/A",2,"65830","613187","","2022-06-00","",""
"Froggies","Standalone","For Sale","USD",13,"N/A","N/A","AMIGO","2205","N/A","N/A",4,"341914","613188","","2022-06-00","",""
"Cat in the Box: Deluxe Edition","Standalone","For Sale","USD",30,"N/A","N/A","Bézier Games","741","N/A","N/A",141,"345972","603023","","2022-06-00","",""
"Castles of Mad King Ludwig: Collector's Edition","Standalone","For Sale","USD",200,"N/A","N/A","Bézier Games","741","N/A","N/A",81,"326945","542380","CACE","2022-07-00","Q3 2022",""
"Sync or Swim","Standalone","For Sale","USD",25,"N/A","N/A","Bézier Games","741","N/A","N/A",37,"353196","591769","BEZ SYNC","2022-09-00","",""
"Call To Adventure: Epic Origins","Standalone","For Sale","USD",45,"N/A","N/A","Brotherwise Games","331","N/A","N/A",41,"351077","587401","","2022-08-17","",""
"Empire's End","Standalone","Demo","N/A","N/A","N/A","N/A","Brotherwise Games","331","N/A","N/A",50,"356952","600116","","0000-00-00","Q4 2022",""
"Castles by the Sea","Standalone","Demo","N/A","N/A","N/A","N/A","Brotherwise Games","331","N/A","N/A",48,"357841","601683","","0000-00-00","Q1 2023",""
"Aldabas: Doors of Cartagena","Standalone","For Sale","USD",25,"N/A","N/A","Grand Gamers Guild","2310","N/A","N/A",26,"299604","490278","","2022-06-00","",""
"Endangered: Monarch Butterfly Scenario","Expansion","For Sale","USD",16,"N/A","N/A","Grand Gamers Guild","2310","N/A","N/A",28,"359617","605006","","2022-06-00","",""
"Forgotten Depths","Standalone","For Sale","USD",60,"N/A","N/A","Grand Gamers Guild","2310","N/A","N/A",34,"288335","470572","","2022-06-00","",""
"Ferret Out","Standalone","For Sale","USD",30,"N/A","N/A","R&R Games","Envoy HQ — Hall D","N/A","N/A",5,"362457","613198","","2022-07-15","",""
"Dom Pierre","Standalone","For Sale","USD",60,"N/A","N/A","R&R Games","Envoy HQ — Hall D","N/A","N/A",50,"332853","584783","","2022-07-00","",""
"Bug Off!","Standalone","For Sale","USD",15,"N/A","N/A","R&R Games","Envoy HQ — Hall D","N/A","N/A",6,"362503","613362","","2022-07-15","",""
