Title,Type,Availability,MSRP Currency,MSRP,Show Price Currency,Show Price,Publisher,Location,Priority,Notes,Thumbs,BGGId,BGGVersionId,Mfg Product Code,Release Date,Override Release Date,Events
Dungeon Drop: Dropped Too Deep,Expansion,For Sale,USD,22,N/A,N/A,Phase Shift Games,271,N/A,N/A,9,315451,519433,PSG114,2021-09-01,,
Dungeon Drop: Wizards and Spells,Expansion,For Sale,USD,13,N/A,N/A,Phase Shift Games,271,N/A,N/A,5,328519,545930,PSG115,2021-09-01,,
Tavern Tales: Legends of Dungeon Drop,Standalone,For Sale,USD,22,N/A,N/A,Phase Shift Games,271,N/A,N/A,7,320069,527794,PSG201,2021-09-01,,
PinPoint,Standalone,For Sale,USD,25,N/A,N/A,Nauvoo Games,1905,N/A,N/A,8,336831,560480,NVG031,2022-02-01,,
The Reckoners: Steelslayer,Expansion,For Sale,USD,80,N/A,N/A,Nauvoo Games,1905,N/A,N/A,27,319115,525924,NVG026,2022-04-00,,
Familiar Tales,Standalone,For Sale,USD,80,N/A,N/A,Plaid Hat Games,1217,N/A,N/A,18,350948,587122,PH3700,2022-04-00,,
Summoner Wars (Second Edition): Cloaks Faction Deck,Expansion,For Sale,USD,15,N/A,N/A,Plaid Hat Games,1217,N/A,N/A,5,348354,582204,PH3602,0000-00-00,Q1 2022,
Summoner Wars (Second Edition): The Skyspear Avians,Expansion,For Sale,USD,15,N/A,N/A,Plaid Hat Games,1217,N/A,N/A,5,348353,582203,PH3603,0000-00-00,Q1 2022,
Summoner Wars (Second Edition): Fungal Dwarves Faction Deck,Expansion,For Sale,USD,15,N/A,N/A,Plaid Hat Games,1217,N/A,N/A,3,361330,609694,,0000-00-00,,
Evergreen,Standalone,For Sale,USD,60,N/A,N/A,Horrible Guild,166,N/A,N/A,31,363307,615672,,2022-10-00,,
Mosaic: A Story of Civilization,Standalone,Demo,N/A,N/A,N/A,N/A,Forbidden Games,2238,N/A,N/A,17,329551,548112,,2022-07-00,,
USPS: The Great American Mail Race,Standalone,For Sale,USD,30,N/A,N/A,Big Potato,,N/A,N/A,3,364679,619284,,0000-00-00,,
Thunder Rolls,Standalone,For Sale,USD,85,USD,75,Mr. B Games,2236,N/A,N/A,4,334216,556111,,2022-08-00,,
Hellenica: Story of Greece – Leaders and Legends,Expansion,For Sale,USD,65,USD,55,Mr. B Games,2236,N/A,N/A,3,295123,482832,,2021-09-00,,
"Built for War: Design, Build, and Destroy World War II Tanks",Standalone,For Sale,USD,70,USD,60,Mr. B Games,2236,N/A,N/A,6,290619,474596,,2021-11-00,,
Diamond Dig,Standalone,Demo,N/A,N/A,N/A,N/A,Mr. B Games,2236,N/A,N/A,2,301679,494052,,2022-00-00,,
Sports Dice: Soccer,Standalone,For Sale,USD,15,N/A,N/A,FunWiz,1909 (FoxMind),N/A,N/A,6,364195,618193,SDSOCC-BIL,2022-07-15,,
Match Madness Duo,Standalone,For Sale,USD,20,N/A,N/A,FoxMind,1909,N/A,N/A,6,364113,618059,MATCHDUO-BIL,2022-08-01,,
Racing Hedgehogs,Standalone,For Sale,USD,25,N/A,N/A,FoxMind,1909,N/A,N/A,8,355622,597642,,2022-01-00,,
Space Brigade,Standalone,For Sale,USD,25,N/A,N/A,Van Ryder Games,2949,N/A,N/A,3,305912,613174,VRGGNA17,2022-06-01,,
Sherlock Holmes: The Beginning,Standalone,For Sale,USD,25,N/A,N/A,Van Ryder Games,2949,N/A,N/A,6,244172,484766,VRGGNA00,2020-07-00,,
The Dark Mage,Standalone,For Sale,USD,25,N/A,N/A,Van Ryder Games,2949,N/A,N/A,3,244160,613170,VRGGNA18,2022-06-01,,
Time of Empires,Standalone,Demo,N/A,N/A,N/A,N/A,Pearl Games,,N/A,N/A,13,354672,595385,,0000-00-00,Q3 2022,
Lofoten,Standalone,Demo,N/A,N/A,N/A,N/A,Pearl Games,,N/A,N/A,35,361905,611528,,0000-00-00,Q4 2022,
Home Sweet Home (or Not),Standalone,For Sale,USD,40,N/A,N/A,Devir,2641,N/A,N/A,89,358219,602482,,2022-00-00,Q3 2022,
The Red Cathedral: Contractors,Expansion,For Sale,USD,30,N/A,N/A,Devir,2641,N/A,N/A,308,359747,605220,,2022-00-00,Q3 2022,
Seasons of Arcadia,Standalone,Demo,N/A,N/A,N/A,N/A,Rather Dashing Games,606,N/A,N/A,7,362942,614771,RDGSOFA,0000-09-00,Q3 2022,
