"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"Ensemble","Standalone","For Sale","USD",30,"N/A","N/A","Ares Games","541","N/A","N/A",23,"293665","558978","","2023-07-00","",""
"War of the Ring: The Card Game – Against the Shadow","Expansion","For Sale","USD",25,"N/A","N/A","Ares Games","541","N/A","N/A",101,"388470","661302","WOTR102","2023-09-00","",""
"Wings of Glory: World War 1 – Caquot M / Ae 800 Drachen","Expansion","For Sale","USD",30,"N/A","N/A","Ares Games","541","N/A","N/A",10,"389792","663546","WGF305","2023-09-00","",""
"Quartermaster General: East Front","Standalone","Demo","N/A","N/A","N/A","N/A","Ares Games","541","N/A","N/A",23,"379706","648644","","2023-09-00","",""
"DEFCON 1","Standalone","For Sale","USD",90,"N/A","N/A","ASYNCRON games","541 (Ares Games)","N/A","N/A",24,"322354","531750","","2023-09-00","",""
"Channel WON","Standalone","For Sale","USD",35,"N/A","N/A","Pops & Bejou Games","2567","N/A","N/A",10,"358278","602592","","2023-06-00","",""
"Alphabet Stoop","Standalone","Demo","N/A","N/A","N/A","N/A","Pops & Bejou Games","2567","N/A","N/A",9,"390568","664729","","2023-00-00","Q4 2023",""
"Weirdwood Manor","Standalone","Demo","N/A","N/A","N/A","N/A","Greyridge Games","1556","N/A","N/A",92,"359601","604977","","2024-00-00","Q2 2024",""
"Kutná Hora: The City of Silver","Standalone","Demo","N/A","N/A","N/A","N/A","Czech Games Edition","ICC 235-239","N/A","N/A",183,"385610","656821","CGE00070","2023-10-00","Q4 2023",""
"Lost Ruins of Arnak: The Missing Expedition","Expansion","For Sale","USD",30,"N/A","N/A","Czech Games Edition","ICC 235-239","N/A","N/A",330,"382350","653066","CGE00067","0000-00-00","Q3 2023",""
"Call of Duty: The Board Game","Standalone","Demo","N/A","N/A","N/A","N/A","Arcane Wonders","529","N/A","N/A",33,"386403","658067","","2024-00-00","Q2 2024",""
"Express Route","Standalone","For Sale","USD",40,"N/A","N/A","The Op","135","N/A","N/A",19,"388718","661730","","2023-00-00","Q3 2023",""
"The Perfect Wave","Standalone","For Sale","USD",35,"N/A","N/A","The Op","135","N/A","N/A",23,"388683","661655","","2023-00-00","",""
"What the Cup!?","Standalone","For Sale","USD",23,"N/A","N/A","The Op","135","N/A","N/A",18,"389198","662512","","2023-06-21","",""
"Mish Match","Standalone","For Sale","USD",10,"N/A","N/A","The Op","135","N/A","N/A",6,"388719","661732","","2023-00-00","",""
"Disney Sorcerer's Arena: Epic Alliances – At the Ready","Expansion","For Sale","USD",20,"N/A","N/A","The Op","135","N/A","N/A",18,"380646","650182","","2023-00-00","",""
"Tapple 10","Standalone","For Sale","USD",10,"N/A","N/A","The Op","135","N/A","N/A",11,"200114","665510","","2023-00-00","",""
"The A.R.T. Project","Standalone","Demo","N/A","N/A","N/A","N/A","The Op","135","N/A","N/A",44,"378356","646229","","2023-11-00","",""
"Diced Veggies","Standalone","Demo","N/A","N/A","N/A","N/A","Kids Table BG","2006","N/A","N/A",103,"381356","651452","","2023-08-03","",""
"CATAN: Hawai'i Scenario","Expansion","For Sale","USD",20,"N/A","N/A","Catan Studio","929","N/A","N/A",16,"238135","651860","","2023-06-30","",""
"Kelp","Standalone","Demo","N/A","N/A","N/A","N/A","Wonderbow Games","First Exposure Playtest Hall","N/A","N/A",45,"374595","639076","","2024-00-00","",""
"Wild Tiled West","Standalone","For Sale","USD",65,"N/A","N/A","Dire Wolf","2611","N/A","N/A",125,"342032","570282","","2023-00-00","",""
"City of the Great Machine","Standalone","For Sale","USD",65,"N/A","N/A","CrowD Games","1263","N/A","N/A",51,"263895","427563","CGA07001","2023-01-00","",""
"City of the Great Machine: Stand-In Heroes","Expansion","For Sale","USD",25,"N/A","N/A","CrowD Games","1263","N/A","N/A",11,"366259","622531","CGA07003","2023-01-00","",""
"City of the Great Machine: The Escalation Kickstarter Exclusives","Expansion","For Sale","USD",35,"N/A","N/A","CrowD Games","1263","N/A","N/A",14,"366262","622534","CGA07005","2023-01-00","",""
"Evolution: New World","Standalone","For Sale","USD",45,"N/A","N/A","CrowD Games","1263","N/A","N/A",19,"344992","575672","","2023-03-00","",""
"Evolution: New World – Butterfly Effect","Expansion","For Sale","USD",25,"N/A","N/A","CrowD Games","1263","N/A","N/A",14,"361577","610316","","0000-00-00","Mar/Apr 2023",""
"Dixit: Disney Edition","Standalone","Demo","N/A","N/A","N/A","N/A","Libellud","809, 815, 823, 929, 1109, 1115 (Asmodee)","N/A","N/A",33,"381308","651360","","2023-09-15","",""
"Maximum Apocalypse: Gothic Horrors 2nd Edition","Standalone","For Sale","N/A","N/A","N/A","N/A","Rock Manor Games","","N/A","N/A",9,"390157","664037","RMA214","2023-08-15","",""
"The Princes of Florence","Standalone","For Sale","USD",55,"N/A","N/A","WizKids (I)","121","N/A","N/A",37,"555","654079","87586","2023-07-00","",""
"Avant Carde","Standalone","Demo","N/A","N/A","N/A","N/A","Resonym","2304","N/A","N/A",16,"390163","664043","","0000-00-00","Q1 2024",""
"Galactic Cruise","Standalone","Demo","N/A","N/A","N/A","N/A","Kinson Key Games","336 (Indie Game Alliance)","N/A","N/A",144,"391137","665523","","2024-00-00","",""
"Inheritors","Standalone","For Sale","USD",20,"N/A","N/A","NorthStar Game Studio","423","N/A","N/A",20,"367476","668395","NSG-910","2023-08-00","",""
"Eila and Something Shiny","Standalone","For Sale","USD",65,"N/A","N/A","NorthStar Game Studio","423","N/A","N/A",30,"293207","668396","NSG-900","2023-08-00","",""
"Oceans: Legends of the Deep","Expansion","Demo","N/A","N/A","N/A","N/A","NorthStar Game Studio","423","N/A","N/A",22,"324557","536607","","2023-08-00","Q4 2023",""
"The Witcher: Old World","Standalone","For Sale","USD",100,"N/A","N/A","Go On Board","809 (Asmodee)","N/A","N/A",15,"331106","550937","","2023-06-00","",""
"The Witcher: Old World","Standalone","For Sale","USD",200,"N/A","N/A","Go On Board","809 (Asmodee)","N/A","N/A",19,"331106","567316","TWOW","2023-06-00","",""
"The Witcher: Old World – Skellige","Expansion","For Sale","USD",65,"N/A","N/A","Go On Board","809 (Asmodee)","N/A","N/A",10,"340529","567385","","2023-06-00","",""
"The Witcher: Old World – Legendary Hunt","Expansion","For Sale","USD",70,"N/A","N/A","Go On Board","809 (Asmodee)","N/A","N/A",10,"340526","567382","","2023-06-00","",""
"The Witcher: Old World – Mages","Expansion","For Sale","USD",75,"N/A","N/A","Go On Board","809 (Asmodee)","N/A","N/A",10,"340523","567378","","2023-06-00","",""
"Star Trek: Discovery – Black Alert","Standalone","For Sale","USD",55,"N/A","N/A","WizKids (I)","121","N/A","N/A",15,"387566","659752","","2023-07-00","",""
"Blob Party","Standalone","For Sale","USD",25,"N/A","N/A","WizKids (I)","121","N/A","N/A",11,"382828","654082","87577","2023-07-00","",""
"Dungeons & Dragons: Trials of Tempus","Standalone","For Sale","USD",100,"N/A","N/A","WizKids (I)","121","N/A","N/A",22,"385546","656702","87545","2023-07-19","",""
"SpellBook","Standalone","Demo","N/A","N/A","N/A","N/A","Space Cowboys","809, 815, 823, 929, 1109, 1115 (Asmodee)","N/A","N/A",53,"391834","666774","","2023-09-29","",""
"Hamlet: The Village Building Game","Standalone","For Sale","USD",50,"N/A","N/A","Mighty Boards","366","N/A","N/A",61,"276086","647147","MBHAM002EN","2023-05-00","",""
"Vengeance: Roll & Fight – Episode 1","Standalone","For Sale","USD",49,"N/A","N/A","Mighty Boards","366","N/A","N/A",15,"335240","557763","MBVRF001EN","2022-09-00","",""
"Vengeance: Roll & Fight – Episode 2","Standalone","For Sale","USD",49,"N/A","N/A","Mighty Boards","366","N/A","N/A",13,"335664","558485","MBVRF002EN","2022-09-00","",""
"Hamlet: By the Lake","Expansion","Demo","N/A","N/A","N/A","N/A","Mighty Boards","366","N/A","N/A",60,"389384","662815","","2024-00-00","Q2 2024",""
"Fateforge: Chronicles of Kaan","Standalone","Demo","N/A","N/A","N/A","N/A","Mighty Boards","366","N/A","N/A",30,"363625","616656","","2024-03-00","",""
"7th Sea: City of Five Sails","Standalone","For Sale","USD",60,"N/A","N/A","Pine Box Entertainment","1929, 2029 (Studio 2 Publishing)","N/A","N/A",27,"367584","625252","","2023-08-00","",""
"Murder We Wrote","Standalone","For Sale","USD",20,"N/A","N/A","Kess Co.","1949","N/A","N/A",6,"392698","668126","810015927748","2023-09-00","",""
"SPY x FAMILY: Mission for Peanuts","Standalone","For Sale","USD",15,"N/A","N/A","Kess Co.","1949","N/A","N/A",14,"392694","668122","2759","2023-09-00","",""
"Legendary Encounters: The Matrix","Standalone","For Sale","USD",80,"N/A","N/A","Upper Deck Entertainment","1205","N/A","N/A",26,"373105","636514","","2023-08-00","",""
"Vs. System 2PCG: Mortal Kombat 11","Standalone","For Sale","USD",35,"N/A","N/A","Upper Deck Entertainment","1205","N/A","N/A",4,"386103","657446","","2023-04-00","",""
"Expeditions","Standalone","For Sale","USD",85,"N/A","N/A","Stonemaier Games","2909","N/A","N/A",118,"379078","647627","","2023-09-22","",""
"Expeditions","Standalone","For Sale","USD",115,"N/A","N/A","Stonemaier Games","2909","N/A","N/A",78,"379078","648528","","2023-09-22","",""
"Redwood","Standalone","For Sale","USD",65,"N/A","N/A","Sit Down!","1321, 1429, 1521 (Flat River Group)","N/A","N/A",40,"359962","605696","","2023-09-00","",""
"Where's My Ride?","Standalone","For Sale","USD",30,"N/A","N/A","SlugFest Games","1219","N/A","N/A",5,"374789","639448","","2023-08-18","",""
"The Red Dragon Inn: Battle for Greyport – Chaos in Copperforge","Expansion","For Sale","USD",30,"N/A","N/A","SlugFest Games","1219","N/A","N/A",8,"367923","625912","","2023-08-18","",""
"CLAW","Standalone","Demo","N/A","N/A","N/A","N/A","Braincast Games","Room 107-110 (First Exposure Playtest Hall)","N/A","N/A",5,"387827","660085","","0000-00-00","",""
"Ynaros Fallin'","Standalone","Demo","N/A","N/A","N/A","N/A","Peekwik Dreams","336 (Indie Game Alliance)","N/A","N/A",7,"357172","600500","","2024-00-00","",""
